metric,val,best_classifier
test/loss,2.3978872299194336,lr=0.0001
test/CustomJaccard_macro,0.06505171209573746,lr=0.0001
test/CustomJaccard_micro,0.2969166338443756,lr=0.0001
test/F1Score_macro,0.10839792340993881,lr=0.0001
test/F1Score_micro,0.45788082480430603,lr=0.0001
test/acc_top-1_macro,0.10936770588159561,lr=0.0001
test/acc_top-1_micro,0.45788082480430603,lr=0.0001
test/jaccard_macro,0.06830430030822754,lr=0.0001
test/jaccard_micro,0.2969166338443756,lr=0.0001
test/mIoU,0.1084928959608078,lr=0.0001
