metric,val,best_classifier
test/loss,1.7594332695007324,lr=0.0001
test/CustomJaccard_macro,0.20676963031291962,lr=0.0001
test/CustomJaccard_micro,0.4492761790752411,lr=0.0001
test/F1Score_macro,0.3209814429283142,lr=0.0001
test/F1Score_micro,0.6200007796287537,lr=0.0001
test/acc_top-1_macro,0.3137361407279968,lr=0.0001
test/acc_top-1_micro,0.6200007796287537,lr=0.0001
test/jaccard_macro,0.2171081006526947,lr=0.0001
test/jaccard_micro,0.4492761790752411,lr=0.0001
test/mIoU,0.21247391402721405,lr=0.0001
